Afghanistan,3.8,,
Albania,3.53,,
Algeria,3.69,,
Andorra,3.92,,
Angola,1.66,,
Argentina,1.31,,
Armenia,3.43,,
Australia,2.67,,
Austria,0.27,,
Azerbaijan,2.94,,
Bahrain,4.13,,
Bangladesh,0.43,,
Belarus,0.75,,
Belgium,3.89,,
Belize,0.62,,
Benin,0.18,,
Bolivia,1.15,,
Bosnia and Herzegovina,1.1,,
Botswana,4.02,,
Brazil,0.78,,
Bulgaria,2.53,,
Burkina Faso,3.42,,
Burundi,0.42,,
Cambodia,0.42,,
Cameroon,0.04,,
Canada,0.88,,
Central African Republic,0.03,,
Chad,1.44,,
Chile,3.98,,
China,2.4,,
Colombia,0.65,,
Costa Rica,0.92,,
Croatia,0.18,,
Cuba,2.02,,
Cyprus,3.97,,
Czech Republic,1.29,,
Côte d'Ivoire,0.04,,
Democratic Republic of the Congo,0.04,,
Denmark,2.08,,
Djibouti,3.37,,
Dominican Republic,1.75,,
Ecuador,1.59,,
Egypt,3.07,,
El Salvador,1.66,,
Eritrea,4.33,,
Estonia,2.26,,
Ethiopia,1.11,,
Finland,0.54,,
France,2.19,,
Gambia,0.04,,
Georgia,1.39,,
Germany,2.14,,
Ghana,0.75,,
Greece,3.8,,
Guatemala,2.36,,
Guinea,0.19,,
Guinea-Bissau,0.98,,
Haiti,1.74,,
Honduras,0.27,,
Hungary,0.77,,
India,4.12,,
Indonesia,2.07,,
Iran,4.57,,
Iraq,3.13,,
Ireland,0.46,,
Israel,4.82,,
Italy,3.01,,
Japan,1.66,,
Jordan,4.56,,
Kazakhstan,2.16,,
Kenya,0.93,,
Kuwait,4.43,,
Kyrgyzstan,3.31,,
Laos,0.03,,
Latvia,0.38,,
Lebanon,4.82,,
Lesotho,2.13,,
Libya,4.55,,
Liechtenstein,0.99,,
Lithuania,1.59,,
Luxembourg,2.86,,
Macedonia,2.59,,
Madagascar,0.69,,
Malawi,0.56,,
Malaysia,0.28,,
Mali,0.55,,
Mauritania,2.14,,
Mexico,3.86,,
Moldova,1.06,,
Mongolia,2.51,,
Montenegro,0.58,,
Morocco,3.89,,
Mozambique,0.98,,
Myanmar,0.65,,
Namibia,3.31,,
Nepal,3.17,,
Netherlands,1.61,,
New Zealand,0.05,,
Nicaragua,0.21,,
Niger,3.28,,
Nigeria,1.39,,
North Korea,1.95,,
Oman,4.04,,
Pakistan,4.05,,
Panama,0.23,,
Papua New Guinea,0.06,,
Paraguay,0.01,,
Peru,2.05,,
Philippines,1.55,,
Poland,1.48,,
Portugal,3.14,,
Qatar,4.97,,
Romania,1.85,,
Russia,1.22,,
Rwanda,0.99,,
San Marino,4.14,,
Saudi Arabia,4.35,,
Senegal,1.44,,
Serbia,0.83,,
Sierra Leone,0.01,,
Slovakia,0.5,,
Slovenia,0.66,,
Somalia,1.01,,
South Africa,2.89,,
South Korea,2.55,,
South Sudan,1.52,,
Spain,3.74,,
Sri Lanka,1.66,,
Sudan,2.92,,
Swaziland,1.08,,
Sweden,0.44,,
Switzerland,0.8,,
Syria,3.64,,
Tajikistan,2.65,,
Tanzania,1.63,,
Thailand,2.98,,
Tunisia,3.67,,
Turkey,3.56,,
Turkmenistan,4.04,,
Uganda,0.26,,
Ukraine,1.49,,
United Arab Emirates,4.26,,
United Kingdom,1.4,,
United States,1.85,,
Uzbekistan,3.82,,
Venezuela,2.03,,
Vietnam,0.94,,
Yemen,3.97,,
Zambia,0.81,,
Zimbabwe,1.79,,